,run,p,reward,agent
805,34,0.7,1.0,SRA
806,34,0.7,1.0,HA
807,34,0.7,1.0,NSA
808,34,0.7,1.0,naive SA
809,34,0.7,1.0,advanced SA
810,34,0.6,-1.0,RA
811,34,0.6,0.0,SRA
812,34,0.6,0.0,HA
813,34,0.6,1.0,NSA
814,34,0.6,0.13,naive SA
815,34,0.6,1.0,advanced SA
816,35,0.9,-1.0,RA
817,35,0.9,0.0,SRA
818,35,0.9,1.0,HA
819,35,0.9,1.0,NSA
820,35,0.9,1.0,naive SA
821,35,0.9,1.0,advanced SA
822,35,0.8,-1.0,RA
823,35,0.8,0.0,SRA
824,35,0.8,1.0,HA
825,35,0.8,1.0,NSA
826,35,0.8,0.0,naive SA
827,35,0.8,1.0,advanced SA
828,35,0.7,-1.0,RA
829,35,0.7,0.0,SRA
830,35,0.7,1.0,HA
831,35,0.7,1.0,NSA
832,35,0.7,0.0,naive SA
833,35,0.7,1.0,advanced SA
834,35,0.6,-1.0,RA
835,35,0.6,0.0,SRA
836,35,0.6,1.0,HA
837,35,0.6,1.0,NSA
838,35,0.6,1.0,naive SA
839,35,0.6,1.0,advanced SA
840,36,0.9,-1.0,RA
841,36,0.9,0.0,SRA
842,36,0.9,1.0,HA
843,36,0.9,1.0,NSA
844,36,0.9,1.0,naive SA
845,36,0.9,1.0,advanced SA
846,36,0.8,-1.0,RA
847,36,0.8,0.0,SRA
848,36,0.8,0.0,HA
849,36,0.8,1.0,NSA
850,36,0.8,0.0,naive SA
851,36,0.8,1.0,advanced SA
852,36,0.7,-1.0,RA
853,36,0.7,0.0,SRA
